label,exact_jaccard,minhash_estimate,absolute_error
different,0.251989,0.260163,0.008173
different,0.271255,0.252033,0.019223
same,0.971963,0.983740,0.011777
same,0.971483,0.981030,0.009547
different,0.263844,0.296748,0.032904
different,0.261377,0.258808,0.002569
different,0.285319,0.283198,0.002121
different,0.266361,0.300813,0.034453
same,0.937143,0.939024,0.001882
different,0.374768,0.413279,0.038511
different,0.314839,0.376694,0.061855
same,0.923497,0.921409,0.002088
different,0.261333,0.323848,0.062515
same,0.333893,0.348238,0.014346
different,0.259604,0.276423,0.016819
different,0.250617,0.233062,0.017555
different,0.277778,0.241192,0.036585
same,0.898305,0.887534,0.010771
different,0.239163,0.283198,0.044035
different,0.305239,0.307588,0.002349
different,0.298292,0.322493,0.024202
same,0.949387,0.971545,0.022158
different,0.306587,0.323848,0.017261
different,0.321212,0.344173,0.022961
different,0.313514,0.345528,0.032015
different,0.249326,0.188347,0.060979
different,0.311688,0.311653,0.000035
different,0.314548,0.331978,0.017430
different,0.352683,0.327913,0.024770
different,0.295065,0.272358,0.022708
different,0.251238,0.242547,0.008690
different,0.312500,0.303523,0.008977
different,0.345905,0.383469,0.037564
same,0.848659,0.852304,0.003645
different,0.317439,0.346883,0.029445
different,0.213162,0.226287,0.013126
different,0.263603,0.257453,0.006151
same,0.924908,0.936314,0.011406
different,0.278805,0.326558,0.047753
different,0.339686,0.382114,0.042428
different,0.288978,0.252033,0.036946
same,0.951185,0.967480,0.016294
different,0.307097,0.357724,0.050627
different,0.283230,0.279133,0.004097
different,0.200726,0.205962,0.005237
different,0.326113,0.294038,0.032075
different,0.321615,0.365854,0.044239
different,0.321250,0.331978,0.010728
different,0.262436,0.266938,0.004502
different,0.318056,0.357724,0.039668
different,0.286070,0.273713,0.012357
same,0.989270,0.990515,0.001245
same,0.952782,0.960705,0.007922
different,0.325773,0.356369,0.030595
different,0.300390,0.273713,0.026677
different,0.247874,0.257453,0.009579
different,0.341407,0.361789,0.020381
same,0.948675,0.951220,0.002544
different,0.295749,0.298103,0.002354
different,0.319460,0.266938,0.052522
same,0.869725,0.897019,0.027294
different,0.240271,0.266938,0.026667
different,0.286988,0.289973,0.002985
same,0.707495,0.677507,0.029989
different,0.200000,0.220867,0.020867
different,0.216134,0.235772,0.019638
different,0.298089,0.313008,0.014919
different,0.325530,0.322493,0.003036
different,0.166181,0.195122,0.028941
different,0.208841,0.210027,0.001186
different,0.272830,0.306233,0.033403
different,0.303145,0.306233,0.003088
different,0.265283,0.289973,0.024690
different,0.216849,0.201897,0.014952
different,0.239892,0.241192,0.001300
different,0.203065,0.219512,0.016447
different,0.292378,0.341463,0.049086
same,0.905028,0.939024,0.033996
same,0.866972,0.875339,0.008366
different,0.300832,0.313008,0.012176
different,0.330498,0.323848,0.006650
same,0.516569,0.542005,0.025436
different,0.321859,0.302168,0.019691
same,0.915049,0.936314,0.021266
same,0.918651,0.917344,0.001307
different,0.245690,0.260163,0.014473
different,0.264828,0.266938,0.002110
different,0.256917,0.230352,0.026565
same,0.422475,0.464770,0.042295
different,0.271132,0.281843,0.010710
same,0.395620,0.365854,0.029767
same,0.666667,0.681572,0.014905
different,0.288770,0.271003,0.017767
same,0.904232,0.909214,0.004982
different,0.336323,0.380759,0.044436
same,0.866667,0.850949,0.015718
different,0.310811,0.291328,0.019483
different,0.308627,0.304878,0.003749
different,0.317621,0.330623,0.013003
same,0.921053,0.926829,0.005777
different,0.370607,0.376694,0.006087
same,0.928983,0.943089,0.014107
different,0.291422,0.331978,0.040556
different,0.363942,0.346883,0.017058
same,0.933333,0.952575,0.019241
same,0.930288,0.953930,0.023641
different,0.359170,0.371274,0.012103
same,0.930618,0.937669,0.007051
different,0.357426,0.378049,0.020623
same,0.328488,0.302168,0.026320
same,0.881890,0.895664,0.013774
same,0.927383,0.940379,0.012997
different,0.273572,0.276423,0.002850
different,0.248832,0.264228,0.015396
same,0.914851,0.941734,0.026883
different,0.304009,0.308943,0.004934
different,0.243043,0.222222,0.020820
different,0.238903,0.275068,0.036164
same,0.938806,0.957995,0.019189
different,0.269071,0.264228,0.004843
different,0.284330,0.268293,0.016037
different,0.247140,0.260163,0.013023
different,0.218553,0.214092,0.004461
different,0.289116,0.329268,0.040153
different,0.330120,0.397019,0.066898
different,0.223388,0.252033,0.028644
different,0.273183,0.268293,0.004890
same,0.873239,0.865854,0.007386
different,0.312224,0.314363,0.002139
same,0.621479,0.623306,0.001827
same,0.950867,0.959350,0.008483
different,0.205021,0.195122,0.009899
different,0.338415,0.331978,0.006436
same,0.473322,0.501355,0.028033
different,0.303226,0.300813,0.002413
different,0.375940,0.386179,0.010239
different,0.322479,0.302168,0.020311
different,0.332326,0.356369,0.024042
different,0.314159,0.300813,0.013346
same,0.940407,0.940379,0.000028
same,0.875000,0.880759,0.005759
same,0.336700,0.295393,0.041307
different,0.253731,0.238482,0.015249
different,0.241341,0.227642,0.013699
same,0.938010,0.963415,0.025405
different,0.369906,0.348238,0.021667
different,0.245322,0.257453,0.012130
different,0.304729,0.304878,0.000150
different,0.276284,0.252033,0.024251
different,0.293632,0.294038,0.000406
same,0.979167,0.983740,0.004573
different,0.211890,0.228997,0.017107
same,0.401342,0.411924,0.010582
same,0.910946,0.910569,0.000377
same,0.938633,0.951220,0.012586
different,0.352853,0.353659,0.000806
different,0.318841,0.264228,0.054613
different,0.267213,0.272358,0.005145
different,0.300454,0.300813,0.000359
different,0.251256,0.250678,0.000579
different,0.280000,0.288618,0.008618
different,0.247012,0.279133,0.032121
same,0.948122,0.956640,0.008518
different,0.198151,0.181572,0.016579
same,0.924658,0.926829,0.002172
different,0.311586,0.323848,0.012262
different,0.209431,0.197832,0.011599
different,0.220365,0.237127,0.016763
different,0.355682,0.386179,0.030497
different,0.213592,0.239837,0.026245
different,0.281030,0.310298,0.029268
different,0.265742,0.306233,0.040491
different,0.286260,0.345528,0.059269
different,0.197026,0.185637,0.011389
different,0.241538,0.276423,0.034884
different,0.253863,0.235772,0.018091
same,0.925000,0.932249,0.007249
same,0.897210,0.928184,0.030974
different,0.285871,0.299458,0.013587
same,0.948529,0.951220,0.002690
different,0.309605,0.283198,0.026407
different,0.325260,0.331978,0.006719
same,0.507983,0.516260,0.008278
different,0.289805,0.304878,0.015073
different,0.279141,0.299458,0.020317
different,0.316689,0.311653,0.005035
same,0.936170,0.943089,0.006919
different,0.362205,0.368564,0.006359
different,0.340933,0.345528,0.004596
same,0.658153,0.695122,0.036969
same,0.943583,0.951220,0.007637
same,0.935018,0.945799,0.010781
different,0.224852,0.228997,0.004145
different,0.273598,0.279133,0.005535
different,0.270270,0.295393,0.025123
different,0.279102,0.257453,0.021650
same,0.931159,0.924119,0.007040
same,0.946830,0.932249,0.014581
same,0.961957,0.952575,0.009382
same,0.952816,0.949864,0.002951
same,0.868085,0.857724,0.010362
different,0.299113,0.327913,0.028800
different,0.289566,0.303523,0.013957
same,0.332168,0.378049,0.045881
different,0.389462,0.402439,0.012977
same,0.452347,0.443089,0.009258
different,0.273058,0.317073,0.044015
same,0.866419,0.842818,0.023601
same,0.406780,0.460705,0.053925
different,0.223647,0.253388,0.029741
same,0.892396,0.903794,0.011398
different,0.348422,0.391599,0.043176
different,0.316312,0.307588,0.008724
same,0.896806,0.928184,0.031378
different,0.202186,0.204607,0.002421
different,0.328194,0.345528,0.017335
same,0.904074,0.910569,0.006496
same,0.416431,0.402439,0.013992
different,0.286029,0.310298,0.024270
different,0.313158,0.294038,0.019120
same,0.931280,0.948509,0.017230
same,0.887584,0.906504,0.018920
different,0.225997,0.249322,0.023325
same,0.912886,0.939024,0.026139
different,0.270942,0.285908,0.014965
different,0.184932,0.192412,0.007480
same,0.843874,0.872629,0.028755
different,0.265903,0.265583,0.000321
same,0.930380,0.936314,0.005935
different,0.247021,0.242547,0.004473
different,0.360960,0.384824,0.023864
same,0.919132,0.929539,0.010407
different,0.221636,0.185637,0.035999
different,0.276773,0.304878,0.028105
different,0.278665,0.294038,0.015373
different,0.275683,0.291328,0.015645
same,0.882239,0.910569,0.028330
different,0.234279,0.235772,0.001494
different,0.260814,0.258808,0.002007
same,0.535503,0.547425,0.011923
same,0.927305,0.957995,0.030690
different,0.181941,0.207317,0.025376
different,0.363636,0.357724,0.005913
same,0.910537,0.918699,0.008162
different,0.372399,0.364499,0.007900
same,0.929368,0.941734,0.012366
same,0.732075,0.735772,0.003697
different,0.304009,0.307588,0.003579
same,0.915873,0.929539,0.013666
same,0.505226,0.468835,0.036392
different,0.256906,0.262873,0.005967
same,0.459689,0.464770,0.005081
different,0.256065,0.253388,0.002677
same,0.364312,0.367209,0.002896
different,0.256208,0.230352,0.025855
different,0.310384,0.250678,0.059706
different,0.313830,0.336043,0.022214
same,0.368807,0.372629,0.003821
different,0.278805,0.257453,0.021353
same,0.918919,0.910569,0.008350
different,0.285176,0.298103,0.012927
same,0.734432,0.733062,0.001370
different,0.310069,0.338753,0.028685
different,0.250329,0.284553,0.034223
different,0.306505,0.279133,0.027372
different,0.267427,0.283198,0.015771
different,0.230769,0.249322,0.018553
different,0.298182,0.310298,0.012116
